LET;IntFlux;DiffFlux
7.95988e+02;1.51625e-03;1.20808e-06
8.04903e+02;1.50554e-03;1.16255e-06
8.13918e+02;1.49512e-03;1.09816e-06
8.23035e+02;1.48516e-03;2.36409e-06
8.32253e+02;1.46349e-03;2.06190e-06
8.41575e+02;1.44437e-03;1.73974e-06
8.51001e+02;1.42807e-03;1.47486e-06
8.60532e+02;1.41409e-03;1.35205e-06
8.70171e+02;1.40113e-03;1.19504e-06
8.79917e+02;1.38955e-03;1.11419e-06
8.89772e+02;1.37863e-03;1.06063e-06
8.99738e+02;1.36812e-03;1.61954e-06
9.09816e+02;1.35189e-03;1.41700e-06
9.20006e+02;1.33753e-03;1.22094e-06
9.30311e+02;1.32501e-03;1.08895e-06
9.40731e+02;1.31373e-03;1.03592e-06
9.51267e+02;1.30288e-03;9.55830e-07
9.61922e+02;1.29275e-03;9.04871e-07
9.72696e+02;1.28305e-03;8.33322e-07
9.83591e+02;1.27403e-03;2.31183e-06
9.94607e+02;1.24870e-03;1.58401e-06
1.00575e+03;1.23115e-03;1.23386e-06
