Energy;IntFlux;DiffFlux
6.83665e+01;4.14174e-04;2.67879e+00
6.93744e+01;4.21241e-04;2.67836e+00
7.03972e+01;4.28110e-04;2.67793e+00
7.14351e+01;4.34485e-04;2.67748e+00
7.24883e+01;4.40994e-04;2.67702e+00
7.35570e+01;4.47629e-04;2.67655e+00
7.46415e+01;4.54408e-04;2.67606e+00
7.57419e+01;4.61335e-04;2.67555e+00
7.68586e+01;4.68416e-04;2.67503e+00
7.79918e+01;4.75645e-04;2.67450e+00
7.91416e+01;4.83039e-04;2.67395e+00
8.03084e+01;4.90209e-04;2.67338e+00
8.14924e+01;4.96352e-04;2.67280e+00
8.26939e+01;5.02529e-04;2.67220e+00
8.39130e+01;5.08731e-04;2.67158e+00
8.51502e+01;5.14958e-04;2.67095e+00
8.64056e+01;5.21211e-04;2.67030e+00
8.76795e+01;5.27486e-04;2.66963e+00
8.89722e+01;5.34627e-04;2.66894e+00
9.02839e+01;5.42664e-04;2.66824e+00
9.16150e+01;5.50869e-04;2.66751e+00
9.29657e+01;5.59250e-04;2.66676e+00
9.43363e+01;5.67821e-04;2.66599e+00
9.57271e+01;5.76589e-04;2.66519e+00
9.71384e+01;5.85561e-04;2.66437e+00
9.85705e+01;5.94739e-04;2.66352e+00
1.00024e+02;6.04105e-04;2.66265e+00
1.01498e+02;6.11391e-04;2.66176e+00
1.02995e+02;6.18707e-04;2.66084e+00
1.04513e+02;6.26042e-04;2.65989e+00
1.06054e+02;6.33399e-04;2.65892e+00
1.07618e+02;6.40772e-04;2.65793e+00
1.09204e+02;6.48151e-04;2.65690e+00
1.10814e+02;6.56683e-04;2.65585e+00
1.12448e+02;6.66220e-04;2.65477e+00
1.14106e+02;6.75956e-04;2.65366e+00
1.15788e+02;6.85895e-04;2.65251e+00
1.17495e+02;6.96051e-04;2.65133e+00
1.19228e+02;7.06426e-04;2.65012e+00
1.20985e+02;7.15591e-04;2.64887e+00
1.22769e+02;7.23694e-04;2.64759e+00
1.24579e+02;7.31801e-04;2.64627e+00
1.26416e+02;7.39916e-04;2.64492e+00
1.28280e+02;7.48034e-04;2.64353e+00
1.30171e+02;7.56148e-04;2.64211e+00
1.32090e+02;7.64258e-04;2.64065e+00
1.34038e+02;7.72363e-04;2.63915e+00
1.36014e+02;7.80454e-04;2.63762e+00
1.38019e+02;7.88527e-04;2.63605e+00
1.40054e+02;7.96582e-04;2.63443e+00
1.42119e+02;8.05928e-04;2.63278e+00
1.44214e+02;8.17276e-04;2.63108e+00
1.46340e+02;8.28879e-04;2.62933e+00
1.48498e+02;8.40753e-04;2.62753e+00
1.50687e+02;8.51741e-04;2.62567e+00
1.52909e+02;8.60262e-04;2.62377e+00
1.55163e+02;8.68755e-04;2.62182e+00
1.57450e+02;8.77216e-04;2.61983e+00
1.59772e+02;8.85651e-04;2.61778e+00
1.62127e+02;8.94044e-04;2.61568e+00
1.64518e+02;9.02395e-04;2.61354e+00
1.66943e+02;9.10695e-04;2.61134e+00
1.69404e+02;9.18946e-04;2.60909e+00
1.71902e+02;9.27145e-04;2.60678e+00
1.74436e+02;9.35285e-04;2.60442e+00
1.77008e+02;9.43366e-04;2.60201e+00
1.79618e+02;9.51379e-04;2.59953e+00
1.82266e+02;9.59321e-04;2.59700e+00
1.84953e+02;9.67189e-04;2.59441e+00
1.87680e+02;9.74978e-04;2.59177e+00
1.90447e+02;9.82684e-04;2.58906e+00
1.93255e+02;9.91232e-04;2.58629e+00
1.96104e+02;1.00336e-03;2.58345e+00
1.98995e+02;1.01573e-03;2.58053e+00
2.01929e+02;1.02514e-03;2.57753e+00
2.04906e+02;1.03282e-03;2.57447e+00
2.07927e+02;1.04041e-03;2.57134e+00
2.10992e+02;1.04789e-03;2.56814e+00
2.14103e+02;1.05527e-03;2.56487e+00
2.17260e+02;1.06254e-03;2.56152e+00
2.20463e+02;1.06970e-03;2.55811e+00
2.23713e+02;1.07673e-03;2.55462e+00
2.27011e+02;1.08364e-03;2.55106e+00
2.30358e+02;1.09043e-03;2.54742e+00
2.33755e+02;1.09708e-03;2.54370e+00
2.37201e+02;1.10360e-03;2.53991e+00
2.40698e+02;1.10998e-03;2.53604e+00
2.44247e+02;1.11679e-03;2.53209e+00
2.47848e+02;1.12700e-03;2.52805e+00
2.51502e+02;1.13559e-03;2.52392e+00
2.55210e+02;1.14160e-03;2.51970e+00
2.58972e+02;1.14746e-03;2.51539e+00
2.62790e+02;1.15317e-03;2.51100e+00
2.66665e+02;1.15871e-03;2.50652e+00
2.70596e+02;1.16409e-03;2.50195e+00
2.74586e+02;1.16930e-03;2.49730e+00
2.78634e+02;1.17434e-03;2.49255e+00
2.82742e+02;1.17921e-03;2.48772e+00
2.86910e+02;1.18390e-03;2.48280e+00
2.91140e+02;1.18840e-03;2.47778e+00
2.95433e+02;1.19376e-03;2.47266e+00
2.99788e+02;1.20255e-03;2.46745e+00
3.04208e+02;1.20688e-03;2.46212e+00
3.08693e+02;1.21078e-03;2.45670e+00
3.13244e+02;1.21450e-03;2.45118e+00
3.17862e+02;1.21802e-03;2.44556e+00
3.22549e+02;1.22133e-03;2.43985e+00
3.27304e+02;1.22445e-03;2.43403e+00
3.32130e+02;1.22737e-03;2.42812e+00
3.37026e+02;1.23008e-03;2.42210e+00
3.41995e+02;1.23257e-03;2.41598e+00
3.47037e+02;1.23486e-03;2.40976e+00
3.52154e+02;1.23694e-03;2.40344e+00
3.57346e+02;1.23881e-03;2.39701e+00
3.62614e+02;1.24047e-03;2.39048e+00
3.67960e+02;1.24191e-03;2.38385e+00
3.73385e+02;1.24313e-03;2.37710e+00
3.78890e+02;1.24413e-03;2.37026e+00
3.84476e+02;1.24492e-03;2.36331e+00
3.90144e+02;1.24548e-03;2.35625e+00
3.95896e+02;1.24657e-03;2.34908e+00
4.01733e+02;1.25056e-03;2.34179e+00
4.07656e+02;1.25055e-03;2.33439e+00
